id,name,mobile no.,email address,age,gender,location,specially-abled,active-time,consumption habits,hygiene,condition,status,diet,noise tolerance,social preference,hobbies
1,bhavna,9889850512,bhavna513@gmail.com,36,female,pune,no,morning-time,only drinks,forgotten toothbrush,obesity,student,vegan,rock,introvert,photography
2,shruti,8481884052,shruti645@hotmail.com,59,female,kolkata,no,humming bird,only smokes,deo defender,none,travelling,vegetarian,rock,extrovert,cooking/baking
3,kabir,9401122242,kabir976@outlook.com,41,male,ahmedabad,no,morning-time,both,deo defender,none,student,vegetarian,quite,ambivert,photography
4,aanya,6529046362,aanya55@hotmail.com,19,female,chennai,no,night-owl,both,dr. sanitizer,none,working,vegetarian,quite,ambivert,playing a musical instrument
5,ramesh,6969977500,ramesh816@hotmail.com,58,male,patna,no,humming bird,none,dr. sanitizer,none,travelling,non-vegetarian,quite,extrovert,learning a new language
6,poornima,8186562679,poornima542@gmail.com,45,female,ahmedabad,no,humming bird,only drinks,dr. sanitizer,none,travelling,eggetarian,quite,extrovert,cooking/baking
7,jyoti,8953220989,jyoti372@yahoo.com,58,female,mumbai,no,humming bird,none,forgotten toothbrush,none,travelling,vegetarian,rock,extrovert,learning a new language
8,lavanya,9563466270,lavanya413@hotmail.com,38,female,kolkata,no,morning-time,both,forgotten toothbrush,none,student,vegetarian,moderate,ambivert,gardening
9,rajan,6896409294,rajan61@gmail.com,47,male,kolkata,no,morning-time,both,forgotten toothbrush,none,student,vegetarian,rock,introvert,gardening
10,harpreet,7387453812,harpreet938@outlook.com,35,others,delhi,no,night-owl,only drinks,deo defender,none,working,vegetarian,moderate,extrovert,playing a musical instrument
11,tejas,6076043020,tejas724@gmail.com,27,male,chennai,no,night-owl,both,forgotten toothbrush,alzheimer’s,student,eggetarian,quite,extrovert,playing a musical instrument
12,nitesh,6993046448,nitesh485@outlook.com,57,male,bangalore,no,night-owl,only drinks,forgotten toothbrush,none,working,vegetarian,quite,ambivert,writing
13,mandeep,7638274208,mandeep761@hotmail.com,39,male,ahmedabad,no,morning-time,none,deo defender,none,student,vegetarian,rock,extrovert,playing a musical instrument
14,murali,6104038269,murali830@gmail.com,53,male,bangalore,no,morning-time,none,dr. sanitizer,none,student,vegetarian,rock,extrovert,writing
15,savita,6892726638,savita572@gmail.com,64,others,hyderabad,no,morning-time,only drinks,dr. sanitizer,none,travelling,vegetarian,moderate,ambivert,video games
16,manoj,9740006993,manoj27@hotmail.com,45,male,jaipur,yes,morning-time,both,dr. sanitizer,asthma,student,vegetarian,rock,ambivert,video games
17,meenakshi,7845888125,meenakshi19@yahoo.com,47,female,jaipur,no,morning-time,only smokes,deo defender,none,working,non-vegetarian,quite,ambivert,hiking
18,shobha,9940555127,shobha342@gmail.com,54,female,ahmedabad,no,humming bird,both,forgotten toothbrush,none,travelling,vegetarian,rock,introvert,learning a new language
19,saanvi,8900357034,saanvi129@gmail.com,36,female,chennai,no,morning-time,only drinks,forgotten toothbrush,none,travelling,vegetarian,quite,introvert,hiking
20,lavanya,8570118859,lavanya257@hotmail.com,32,female,hyderabad,no,morning-time,none,forgotten toothbrush,none,travelling,vegetarian,quite,extrovert,painting
21,nirmala,6407568466,nirmala602@gmail.com,55,female,delhi,no,humming bird,only smokes,dr. sanitizer,none,student,vegetarian,moderate,introvert,cooking/baking
22,dilip,7847369223,dilip304@hotmail.com,33,male,hyderabad,no,night-owl,only drinks,dr. sanitizer,asthma,travelling,vegetarian,rock,ambivert,photography
23,keerthi,9847002796,keerthi366@yahoo.com,41,female,bangalore,no,humming bird,none,deo defender,thyroid,student,vegetarian,quite,introvert,painting
24,kabir,6798691884,kabir864@yahoo.com,42,male,kolkata,no,morning-time,none,forgotten toothbrush,alzheimer’s,working,vegetarian,rock,introvert,learning a new language
25,geetha,6014431251,geetha944@outlook.com,62,female,bangalore,no,morning-time,only drinks,deo defender,thyroid,student,vegetarian,moderate,ambivert,gardening
26,prem,7703213655,prem8@gmail.com,32,male,jaipur,no,night-owl,both,forgotten toothbrush,none,working,vegetarian,quite,extrovert,video games
27,amrit,9215116853,amrit539@gmail.com,27,male,hyderabad,no,morning-time,only drinks,deo defender,none,travelling,vegetarian,moderate,introvert,cooking/baking
28,yash,6602093144,yash170@yahoo.com,62,male,chennai,no,night-owl,both,deo defender,migraine,student,vegetarian,rock,ambivert,hiking
29,lalit,9530423818,lalit194@outlook.com,49,male,bangalore,no,morning-time,only drinks,dr. sanitizer,none,working,vegetarian,quite,extrovert,learning a new language
30,aarav,8616116145,aarav19@yahoo.com,36,others,jaipur,no,night-owl,none,dr. sanitizer,asthma,working,vegan,moderate,ambivert,cooking/baking
31,rekha,9196700999,rekha291@hotmail.com,20,female,jaipur,no,morning-time,only drinks,forgotten toothbrush,alzheimer’s,student,vegetarian,rock,ambivert,hiking
32,rajiv,7676400432,rajiv538@hotmail.com,41,male,hyderabad,no,night-owl,both,dr. sanitizer,none,student,vegetarian,rock,introvert,painting
33,ravi,7733770810,ravi614@outlook.com,24,male,mumbai,no,morning-time,only smokes,forgotten toothbrush,none,student,vegetarian,quite,extrovert,painting
34,nikita,6004201158,nikita855@yahoo.com,50,female,patna,no,night-owl,only smokes,dr. sanitizer,none,student,vegan,moderate,extrovert,writing
35,ankit,9376453768,ankit901@gmail.com,17,male,bangalore,no,morning-time,only smokes,forgotten toothbrush,none,student,vegetarian,quite,extrovert,playing a musical instrument
36,fatima,7426825248,fatima536@outlook.com,44,female,chennai,no,morning-time,only drinks,deo defender,none,student,vegetarian,quite,extrovert,reading
37,kamini,9122573504,kamini1@outlook.com,51,female,jaipur,no,night-owl,both,dr. sanitizer,none,working,vegetarian,quite,extrovert,painting
38,gopal,6095195971,gopal794@yahoo.com,62,male,jaipur,no,humming bird,only smokes,forgotten toothbrush,none,student,vegetarian,moderate,extrovert,video games
39,murali,8500857379,murali616@yahoo.com,26,male,jaipur,no,night-owl,only smokes,dr. sanitizer,migraine,working,vegetarian,rock,extrovert,writing
40,kamini,7815966313,kamini147@gmail.com,55,female,bangalore,no,humming bird,only drinks,dr. sanitizer,none,student,vegetarian,quite,extrovert,photography
41,rajdeep,8795525179,rajdeep826@yahoo.com,22,male,chennai,no,night-owl,only drinks,deo defender,none,student,vegetarian,quite,introvert,writing
42,vandana,8789861700,vandana342@gmail.com,31,female,hyderabad,no,night-owl,only drinks,dr. sanitizer,thyroid,travelling,vegetarian,rock,extrovert,playing a musical instrument
43,nirmala,8847645954,nirmala527@yahoo.com,35,female,pune,no,night-owl,only drinks,deo defender,none,travelling,vegetarian,moderate,ambivert,video games
